 seq |                                                                                                                                                                                                    msg                                                                                                                                                                                                    |          created           
-----+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------
  53 | function ->q_quth_v1_hmac_encode_email<- 001.tables.m4.sql 441                                                                                                                                                                                                                                                                                                                                            | 2022-04-09 05:44:32.105707
  54 | In q_auth_v1_hmac_encode_email p_email ->bob@example.com<-                                                                                                                                                                                                                                                                                                                                                | 2022-04-09 05:44:32.105707
  55 | In q_auth_v1_hmac_encode_email p_hmac_password ->my long secret password<-                                                                                                                                                                                                                                                                                                                                | 2022-04-09 05:44:32.105707
  56 | function ->q_quth_v1_register<- 001.tables.m4.sql 1398                                                                                                                                                                                                                                                                                                                                                    | 2022-04-09 05:44:32.105707
  57 |   p_email ->bob@example.com<-                                                                                                                                                                                                                                                                                                                                                                             | 2022-04-09 05:44:32.105707
  58 |   p_pw ->bob the builder<-                                                                                                                                                                                                                                                                                                                                                                                | 2022-04-09 05:44:32.105707
  59 |   p_hmac_password ->my long secret password<-                                                                                                                                                                                                                                                                                                                                                             | 2022-04-09 05:44:32.105707
  60 |   p_first_name ->Bob<-                                                                                                                                                                                                                                                                                                                                                                                    | 2022-04-09 05:44:32.105707
  61 |   p_last_name ->the Builder<-                                                                                                                                                                                                                                                                                                                                                                             | 2022-04-09 05:44:32.105707
  62 |   p_userdata_password ->user info password<-                                                                                                                                                                                                                                                                                                                                                              | 2022-04-09 05:44:32.105707
  63 |   p_secret ->RRFRUD6NOPVVO2ZV<-                                                                                                                                                                                                                                                                                                                                                                           | 2022-04-09 05:44:32.105707
  64 |                                                                                                                                                                                                                                                                                                                                                                                                           | 2022-04-09 05:44:32.105707
  65 | calculate l_privs ->["May Change Password", "May Call Test", "May Login"]<-                                                                                                                                                                                                                                                                                                                               | 2022-04-09 05:44:32.105707
  66 | function ->q_quth_v1_hmac_encode_email<- 001.tables.m4.sql 441                                                                                                                                                                                                                                                                                                                                            | 2022-04-09 05:44:32.105707
  67 | In q_auth_v1_hmac_encode_email p_email ->bob@example.com<-                                                                                                                                                                                                                                                                                                                                                | 2022-04-09 05:44:32.105707
  68 | In q_auth_v1_hmac_encode_email p_hmac_password ->my long secret password<-                                                                                                                                                                                                                                                                                                                                | 2022-04-09 05:44:32.105707
  69 | Register Output:   {"status":"success", "user_id":4, "email_verify_token":"b94add6e-6067-4e2f-acd9-f4dd63a1d6cc", "require_2fa":"y", "secret_2a":"RRFRUD6NOPVVO2ZV", "otp":["936854cd","beb5b964","e6faa0fe","7cccf143","47d0dd7f","59a13e86","238bc342","c5930e45","4a160d28","74d102c6","c4a307f6","254c67b6","93983090","07eb4708","a1bcfd29","8ee701c3","e205ed44","8542cf8e","bbd7c387","6f4ea15c"]} | 2022-04-09 05:44:32.105707
  70 | l_email_verify_token = b94add6e-6067-4e2f-acd9-f4dd63a1d6cc                                                                                                                                                                                                                                                                                                                                               | 2022-04-09 05:44:32.105707
  71 |                                                                                                                                                                                                                                                                                                                                                                                                           | 2022-04-09 05:44:32.105707
  72 | l_user_id = 4                                                                                                                                                                                                                                                                                                                                                                                             | 2022-04-09 05:44:32.105707
  73 | function -> q_auth_v1_email_verify <- 001.tables.m4.sql 2492                                                                                                                                                                                                                                                                                                                                              | 2022-04-09 05:44:32.105707
  74 |   p_email_verify_token ->b94add6e-6067-4e2f-acd9-f4dd63a1d6cc<-                                                                                                                                                                                                                                                                                                                                           | 2022-04-09 05:44:32.105707
  75 |                                                                                                                                                                                                                                                                                                                                                                                                           | 2022-04-09 05:44:32.105707
  76 | PASS                                                                                                                                                                                                                                                                                                                                                                                                      | 2022-04-09 05:44:32.105707
(24 rows)

